zip_code,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,incident_address,borough,community_board,police_precinct,city_council_district,bbl,created_date,status,resolution_action,closed_date,x_coordinate,y_coordinate,latitude,longitude,census_tract,bin,nta,location
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,213 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002850019,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,987715,199507,40.714269,-73.987588,   6  ,1003698,Lower East Side,"[None, '40.714269', '-73.987588', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,103 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004140019,2018-03-04T00:00:00,Open,Site to be cleaned.,,986860,201160,40.718814,-73.990585,  18  ,1005458,Chinatown,"[None, '40.718814', '-73.990585', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,100 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003010003,2018-01-11T00:00:00,Open,Site downloaded for cleaning,,986165,200336,40.716553,-73.993092,  16  ,1082489,Chinatown,"[None, '40.716553', '-73.993092', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,22 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002810009,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,985193,199236,40.713534,-73.996598,   8  ,1003485,Chinatown,"[None, '40.713534', '-73.996598', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,60 HENRY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002777501,2018-01-10T00:00:00,Open,Site downloaded for cleaning,,985634,199030,40.712968,-73.995008,   8  ,1077812,Chinatown,"[None, '40.712968', '-73.995008', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,10 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002970001,2018-01-25T00:00:00,Open,Site downloaded for cleaning,,986766,199792,40.715060,-73.990924,  16  ,1003806,Chinatown,"[None, '40.71506', '-73.990924', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,101 pitt street,MANHATTAN,03 MANHATTAN,Unspecified,,,2018-01-09T00:00:00,Open,Property Research Required,,,,40.719019,-73.982147,  2201,,Lower East Side,"[None, '40.719019', '-73.982147', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,48 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002977502,2018-01-18T00:00:00,Open,Site downloaded for cleaning,,986944,200026,40.715702,-73.990282,  16  ,1075619,Chinatown,"[None, '40.715702', '-73.990282', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,156 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830069,2018-01-10T00:00:00,Open,Site downloaded for cleaning,,986860,199416,40.714028,-73.990585,   6  ,1003596,Lower East Side,"[None, '40.714028', '-73.990585', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,71 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004087501,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,987104,200671,40.717472,-73.989704,  18  ,1079689,Chinatown,"[None, '40.717472', '-73.989704', None, False]"
